	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p009.txt	5	0.451677799	9	0.313112993	3	0.087709915	6	0.084233852	4	0.023877876	8	0.007364231	7	0.006348566	13	0.005547989	2	0.004950767	10	0.004375302	12	0.003809236	0	0.002659635	11	0.002520259	1	0.001811579	      31 ./17900108_GW_sotu101_p009.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p010.txt	3	0.677147719	5	0.230638623	4	0.023877876	9	0.018394092	6	0.010554126	8	0.007364231	7	0.006348566	13	0.005547989	2	0.004950767	10	0.004375302	12	0.003809236	0	0.002659635	11	0.002520259	1	0.001811579	      32 ./17900108_GW_sotu101_p010.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p011.txt	3	0.363109997	9	0.335087691	10	0.150701309	6	0.123412721	4	0.009653108	5	0.003880768	8	0.002977137	7	0.002566535	13	0.002242885	2	0.002001446	12	0.00153996	0	0.001075211	11	0.001018865	1	7.32E-04	      84 ./17900108_GW_sotu101_p011.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p012.txt	3	0.35939034	9	0.244391798	6	0.201125921	8	0.16032803	4	0.012672978	5	0.005094824	7	0.003369447	13	0.002944548	2	0.002627577	10	0.002322154	12	0.002021719	0	0.001411579	11	0.001337606	1	9.61E-04	      70 ./17900108_GW_sotu101_p012.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p013.txt	6	0.599997745	3	0.250974994	12	0.062828047	4	0.047847822	5	0.023270201	9	0.005139751	8	0.002057743	7	0.001773942	13	0.001550241	2	0.001383363	10	0.001222565	0	7.43E-04	11	7.04E-04	1	5.06E-04	     132 ./17900108_GW_sotu101_p013.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p014.txt	3	0.693731198	9	0.128022803	8	0.119503686	4	0.018442517	6	0.008151674	5	0.00741431	7	0.004903432	13	0.004285092	2	0.003823816	10	0.003379345	12	0.002942133	0	0.002054218	11	0.001946568	1	0.001399207	      45 ./17900108_GW_sotu101_p014.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p015.txt	2	0.670827253	4	0.070878949	9	0.054600916	3	0.041647136	6	0.031328809	5	0.028494944	8	0.021859941	7	0.018845047	13	0.016468619	10	0.012987623	12	0.011307313	0	0.007894847	11	0.007481122	1	0.005377482	       7 ./17900108_GW_sotu101_p015.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p016.txt	9	0.428695044	6	0.369480186	3	0.174023867	4	0.009110376	5	0.003662578	8	0.002809752	7	0.002422235	13	0.002116782	2	0.001888918	10	0.001669355	12	0.001453378	0	0.001014759	11	9.62E-04	1	6.91E-04	      91 ./17900108_GW_sotu101_p016.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p017.txt	9	0.465549108	5	0.265233662	6	0.201848952	4	0.020811155	3	0.012228243	8	0.006418417	7	0.005533197	13	0.004835441	2	0.004314922	10	0.003813367	12	0.003320002	0	0.002318049	11	0.002196573	1	0.001578912	      39 ./17900108_GW_sotu101_p017.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p018.txt	2	0.729900782	4	0.058158973	9	0.044802205	3	0.034173117	6	0.025706523	5	0.023381225	8	0.017936943	7	0.015463104	13	0.013513151	10	0.010656857	12	0.009278096	0	0.006478033	11	0.006138556	1	0.004412436	       9 ./17900108_GW_sotu101_p018.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p019.txt	9	0.754009631	3	0.124652263	5	0.064322203	4	0.018442517	6	0.008151674	8	0.005687899	7	0.004903432	13	0.004285092	2	0.003823816	10	0.003379345	12	0.002942133	0	0.002054218	11	0.001946568	1	0.001399207	      49 ./17900108_GW_sotu101_p019.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p020.txt	6	0.412792534	4	0.257366558	9	0.091552416	3	0.089142056	2	0.084127122	5	0.045998471	8	0.004067564	7	0.003506571	13	0.00306438	10	0.002416657	12	0.002103996	0	0.001469025	11	0.001392041	1	0.001000609	      62 ./17900108_GW_sotu101_p020.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p001.txt	2	0.77099767	4	0.049309807	9	0.037985335	3	0.028973514	6	0.021795152	5	0.01982366	8	0.015207752	7	0.013110319	13	0.011457061	10	0.009035365	12	0.00786639	0	0.005492369	11	0.005204545	1	0.003741062	       9 ./17921106_GW_sotu104_p001.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p002.txt	0	0.418875883	3	0.333318024	4	0.200446206	9	0.011572703	6	0.006640163	5	0.006039524	8	0.00463323	7	0.003994221	13	0.003490536	2	0.003114791	10	0.002752736	12	0.002396593	11	0.001585629	1	0.001139761	      56 ./17921106_GW_sotu104_p002.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p003.txt	0	0.420264389	3	0.322136898	4	0.139730763	9	0.054549711	13	0.034836666	7	0.018232722	6	0.00240453	5	0.002187027	8	0.001677781	2	0.001127926	10	9.97E-04	12	8.68E-04	11	5.74E-04	1	4.13E-04	     145 ./17921106_GW_sotu104_p003.txt
