#doc name topic proportion ...
0	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/17890430_GW_Inaug1WNL.txt	1	0.26304880732081604	8	0.12623485173316484	9	0.10225714817656617	14	0.08392125722152013	12	0.07475331174399712	2	0.06770104599205633	13	0.0458390221610399	15	0.04372334243545767	6	0.03808152983390504	0	0.0359658501083228	5	0.031029264081964256	10	0.02609267805560571	7	0.02609267805560571	3	0.02609267805560571	4	0.009167240250947825	
1	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/17900108_GW_sotu101WNL.txt	1	0.26561346674321334	9	0.1267483951298435	0	0.11183670958746822	2	0.09692502404509294	13	0.08294531884911611	8	0.06616967261394392	14	0.05312194776436555	12	0.040074222914787176	3	0.039142242568388726	15	0.033550360489997995	10	0.027026498065208803	6	0.026094517718810346	7	0.02143461598681807	11	0.005590950098044333	5	0.001863028712450512	4	0.001863028712450512	
2	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/17921106_GW_sotu104WNL.txt	1	0.23288463170400545	9	0.12536210501141765	0	0.10607555313830772	8	0.09546794960809726	3	0.0877533288588533	13	0.08148519950009257	2	0.07425274254767636	10	0.051108880299944454	6	0.03905478537925076	14	0.03278665602049003	7	0.020732561099796334	15	0.01783957831882985	12	0.013017940350552367	5	0.012535776553724618	4	0.008678466179102635	11	9.638454298586683E-4	
3	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/17930304_GW_Inaug2WNL.txt	1	0.17648591407248032	14	0.1428679486317488	2	0.11765447455120016	9	0.10924998319101728	15	0.1008454918308344	7	0.07563201775028575	10	0.05041854366973711	8	0.05041854366973711	0	0.05041854366973711	12	0.042014052309554226	3	0.042014052309554226	13	0.025205069589188462	6	0.016800578229005582	11	0.008396086868822698	
4	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/17931203_GW_sotu201WNL.txt	1	0.21058159697254833	9	0.18284639216346926	0	0.08782763494717985	8	0.081150641196846	3	0.06985111331166563	13	0.061119659945844444	15	0.0441703681180739	12	0.04314313831033023	2	0.0426295234064584	6	0.03954783398322739	14	0.03595252965612455	10	0.0292755359057907	5	0.028248306098047033	7	0.026707461386431527	4	0.011299014270276488	11	0.005649250327686309	
5	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/17961207_GW_sotu204WNL.txt	1	0.20651113201894028	9	0.1701091080664085	0	0.09695504070026295	8	0.0812041649515713	13	0.07420377572993059	6	0.0724536784245204	3	0.06545328920287968	10	0.052152549681762306	2	0.03815177123848086	12	0.03640167393307068	7	0.02625110956169163	14	0.02520105117844552	15	0.024851031717363484	5	0.018900700878968873	4	0.007700078124343713	11	0.00349984459135928	
6	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/18090304_JM_Inaug1WNL.txt	1	0.18260286102134052	9	0.13695193043142714	0	0.1257545323622031	8	0.12230917911013417	12	0.09388501478056545	2	0.05943148225987611	6	0.04392739262556591	5	0.04392739262556591	14	0.043066054312548674	3	0.03531400949539357	15	0.03272999455634187	13	0.02756196467823846	7	0.023255273113152293	4	0.013780551669962723	10	0.008612521791859321	11	0.006889845165824853	
7	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/18091129_JM_sotu101WNL.txt	1	0.22216237849947962	9	0.1868809206696421	6	0.10860018610969005	8	0.1063950949953252	0	0.09481836664490977	3	0.0672547277153492	13	0.06339581826521072	5	0.025357996542417136	15	0.02315290542805229	12	0.02315290542805229	7	0.02260163264946108	10	0.01929399597791381	4	0.013781268192001693	2	0.010473631520454425	14	0.007717267627498369	11	0.0049609037345423115	
8	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/18121104_JM_sotu104WNL.txt	9	0.1621793855989383	1	0.15320379178603175	6	0.1488707464970424	0	0.14268068179848617	8	0.1055402936071488	13	0.06963791835552265	3	0.04302064015173086	15	0.036211568983319016	12	0.034973556043607766	2	0.02073640723692844	7	0.01856988459243376	5	0.017331871652722517	10	0.016712865182866892	4	0.014236839303444401	14	0.011451310189094097	11	0.004642239020682244	
9	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/18130304_JM_Inaug2WNL.txt	8	0.16401809563977426	1	0.13556583184377363	0	0.13221850669130297	6	0.122176531233891	9	0.09623476130224339	12	0.07196665394683109	13	0.05690369076071311	14	0.036819739845889154	10	0.036819739845889154	4	0.028451426964712503	2	0.028451426964712503	15	0.027614595676594838	5	0.02677776438847717	7	0.023430439236006507	11	0.00753064476177087	3	0.0050201508974178745	
10	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/18131207_JM_sotu201WNL.txt	6	0.17186107675940396	9	0.16692430447049417	0	0.15427382548016283	1	0.1425489912940021	8	0.10490610259106495	15	0.05646402450613764	12	0.04504773858803376	13	0.02992887345324753	7	0.024992101164337744	14	0.023757908092110296	10	0.02221516675182599	3	0.019129684071257372	2	0.014501460050404447	5	0.014192911782347585	11	0.004936463740641731	4	0.0043193672045280075	
11	file:/Users/dingyi/mallet-2.0.7/speeches_WNL/18161203_JM_sotu204WNL.txt	9	0.18774349892256587	1	0.17638320542041458	13	0.11300472588209691	8	0.1019433874721075	0	0.09626324072103186	3	0.0720478782559199	15	0.03826595284162794	6	0.03677117738081856	10	0.035276401920009186	12	0.031688940814066674	14	0.027802524615962287	2	0.02690565933947666	7	0.026606704247314785	5	0.018235961666782263	4	0.008370443625440361	11	0.002690296874364721	
