#doc name topic proportion ...
0	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p001.txt	1	0.5511571392275542	11	0.1611564363315785	14	0.046333915151900884	4	0.030197341535735434	3	0.02152835355635484	7	0.020945998526717677	6	0.019806302978560716	12	0.017703450959922713	9	0.016369656693623377	0	0.015197305272795253	5	0.014911006736766794	13	0.01390673102468745	8	0.012105541509642125	19	0.011372787591757456	21	0.010522904110411015	18	0.006980808643527513	15	0.0068167546180545975	2	0.006191097634757362	20	0.005231549053007341	16	0.005096892533035135	10	0.0035250017992362053	17	0.0029430245103734256	
1	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p002.txt	13	0.503541994372057	18	0.20312274708742942	1	0.13005813428637022	3	0.04992943245841797	11	0.03390337494760881	12	0.03348546989615014	8	0.01693612755423807	14	0.01086219897810144	19	0.008784262330307407	4	0.0017947980234651283	7	0.0012449386218574224	6	0.0011772000987571869	9	9.729408611598966E-4	0	9.032614156888829E-4	5	8.86245081784895E-4	21	6.254354369615139E-4	15	4.0515810639995165E-4	2	3.67971789330942E-4	20	3.109404147013024E-4	16	3.029370195810133E-4	10	2.0951070326814055E-4	17	1.7492051636322988E-4	
2	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p003.txt	13	0.3856267868636452	11	0.19776383444138204	4	0.18237112038998415	14	0.1518856952211233	7	0.04047380895562777	2	0.02391719977024773	3	0.009092950808698394	6	0.0011402190834569708	12	0.00101916105440771	9	9.423765238728497E-4	0	8.748860152204741E-4	5	8.584042389546663E-4	8	6.968978238803804E-4	19	6.547142825322375E-4	21	6.057877683213316E-4	18	4.018746578767045E-4	15	3.924303142874625E-4	1	3.1490438342284617E-4	20	3.011724132836469E-4	16	2.934204398865717E-4	10	2.029290536987106E-4	17	1.6942549618885206E-4	
3	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p004.txt	11	0.3485458418243557	14	0.2311230265136009	13	0.12024167821324781	4	0.07821224406104586	7	0.07747776857662776	19	0.05505635673745398	6	0.03406452101766842	18	0.033046289269538155	0	0.01203722416403927	3	0.001709162430969718	12	0.0014054987159147138	9	0.001299607150884711	5	0.0011838031392277695	8	9.6107380904274E-4	21	8.354262820485093E-4	15	5.411905217841922E-4	2	4.915188454190562E-4	1	4.342765106874523E-4	20	4.1533910495147636E-4	16	4.0464855843944726E-4	10	2.798542224134345E-4	17	2.3365033063889353E-4	
4	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p005.txt	13	0.43481226548664365	11	0.38795490698103324	4	0.09981280261116517	20	0.03270241492371735	14	0.021492584336914873	3	0.0025317952124518325	7	0.0024633086153638076	6	0.0023292771983804725	12	0.002081975858807721	9	0.0019251178840920672	0	0.0017872460442045438	5	0.001753576527353133	8	0.001423645889037428	19	0.0013374719576984889	21	0.0012375232587149728	18	8.209628226543242E-4	15	8.016696056793932E-4	2	7.280905764794843E-4	1	6.432970738860448E-4	16	5.99408964542516E-4	10	4.145501724425145E-4	17	3.4610799873696684E-4	
5	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p006.txt	11	0.32498587539487034	14	0.27112828669672523	13	0.18368009128970603	3	0.08632818322929996	6	0.05811260630074177	4	0.04516112983251952	8	0.015263324832875378	7	0.002152503727064096	12	0.001819285154848217	9	0.0016822185392039956	0	0.0015617425065363435	5	0.0015323211989262918	19	0.0011687181037056218	21	0.001081380306997818	18	7.173788637456235E-4	15	7.005199443286337E-4	2	6.362246572506194E-4	1	5.621298689545774E-4	20	5.376171883404394E-4	16	5.237792869988568E-4	10	3.6224482213560917E-4	17	3.0243825422499374E-4	
6	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p007.txt	14	0.2639348829583949	18	0.14818957962878773	11	0.11377299035237629	13	0.11231208916071445	21	0.1118555446711221	2	0.09286513269530933	1	0.09276785354177979	0	0.038862346943679925	4	0.0040742124900988805	3	0.002904596315101729	7	0.0028260252219274554	6	0.0026722579827909826	12	0.0023885420818721592	9	0.00220858712615037	5	0.00201178669370586	8	0.0016332745172163128	19	0.0015344116699394525	15	9.197136368428624E-4	20	7.058383755107726E-4	16	6.876705750474511E-4	10	4.755917450903317E-4	17	3.9707161654084765E-4	
7	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p008.txt	13	0.395238087435375	20	0.16632140781779756	4	0.14941695915213513	11	0.10720645429521837	3	0.08602916143478244	14	0.027718425047997527	9	0.023173767095927323	19	0.02241589548262279	7	0.003176864827175516	6	0.0030040080070048267	12	0.0026850699240939155	0	0.0023049645748522783	5	0.002261541877766699	8	0.001836038944948868	21	0.0015960014465514244	18	0.001058774324679599	15	0.0010338923663133423	2	9.389994128177901E-4	1	8.296434456921162E-4	16	7.730420965817864E-4	10	5.346345373527893E-4	17	4.463664523128323E-4	
8	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p001.txt	1	0.6875789035908189	14	0.046333915151900884	4	0.030197341535735434	11	0.024734671968313804	3	0.02152835355635484	7	0.020945998526717677	6	0.019806302978560716	12	0.017703450959922713	9	0.016369656693623377	0	0.015197305272795253	5	0.014911006736766794	13	0.01390673102468745	8	0.012105541509642125	19	0.011372787591757456	21	0.010522904110411015	18	0.006980808643527513	15	0.0068167546180545975	2	0.006191097634757362	20	0.005231549053007341	16	0.005096892533035135	10	0.0035250017992362053	17	0.0029430245103734256	
9	file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p002.txt	13	0.3993350079603934	4	0.22548655994551492	14	0.18397526751277193	11	0.07018079996150443	15	0.0452230045685743	3	0.025541627931072956	19	0.023899402583515972	7	0.0033871130206213768	6	0.0032028163576677017	12	0.0028627706232194974	9	0.002647086853336193	0	0.0024575095096174937	5	0.0024112130536175615	8	0.0019575498974985705	21	0.0017016264696887021	18	0.0011288451023615882	2	0.0010011433632002144	1	8.845501052921247E-4	20	8.459777122994656E-4	16	8.24202820473342E-4	10	5.700172028885229E-4	17	4.759074448696509E-4	
