#doc name topic proportion ...
0	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/.DS_Store	8	0.37703597115097254	7	0.2654277897710741	1	0.20424541437034135	0	0.03642649499569484	2	0.03074160983952959	5	0.02610926749141312	9	0.022428488215519626	4	0.017265567815989133	6	0.011526132799706679	3	0.008793263549758875	
1	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/17890430_GW_Inaug1.xml	1	0.4655912508413963	7	0.396461878359442	0	0.12520809169117292	5	0.00912503264444302	8	0.0029126518256590273	2	2.374829270254163E-4	9	1.732629832328313E-4	4	1.3337875287274372E-4	6	8.904087225250804E-5	3	6.792910250319521E-5	
2	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/17930304_GW_Inaug2.xml	1	0.7750799815895347	0	0.09321896968999434	8	0.0837187496044103	2	0.038552720371526544	7	0.002691802989776564	5	0.002042647860387935	9	0.0017546835996159	4	0.0013507646344085237	6	9.017422840227593E-4	3	6.87937376322389E-4	
3	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18090304_JM_Inaug1.xml	1	0.40718946771480047	0	0.317710885751307	7	0.1439948827906301	8	0.06354326420611627	2	0.04531797528208169	5	0.02168646020229638	9	2.081883985524178E-4	4	1.602645206921124E-4	6	1.069892498332989E-4	3	8.162188369017702E-5	
4	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18130304_JM_Inaug2.xml	0	0.6011454661834001	1	0.3430907066056479	7	0.026871377267714634	9	0.022678183844714	8	0.0053788846431075624	2	2.719409321994155E-4	5	2.3096313360691022E-4	4	1.5273157883862333E-4	6	1.0196041503903417E-4	3	7.778539573167523E-5	
5	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18610304_AL_Inaug1.xml	2	0.6602559793793957	1	0.3258012467947039	8	0.013425461077537731	0	1.2005840372497558E-4	7	1.1340171831294447E-4	5	8.60537632791168E-5	9	7.392225064305416E-5	4	5.690573610329395E-5	6	3.79890819915124E-5	3	2.8981794307737652E-5	
6	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18650304_AL_Inaug2.xml	0	0.44099511878803077	2	0.25216615684467586	8	0.22267271413379072	1	0.06245502196023273	7	0.0202452004734662	5	4.443733988828238E-4	9	3.8172742852367125E-4	4	2.9385577579134646E-4	6	1.9617198413800617E-4	3	1.4965921246790632E-4	
7	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18850304_GC_Inaug1.xml	1	0.5009855746542593	3	0.26979370598393354	7	0.17820599071908388	8	0.05015830078059257	0	2.1589752092769212E-4	2	1.8220356788280619E-4	5	1.5474796917189782E-4	9	1.3293222431801189E-4	4	1.023319232147248E-4	6	6.831465661557986E-5	
8	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18930304_GC_Inaug2.xml	3	0.45656696239813904	1	0.4102916451570743	7	0.07100742393894323	5	0.04510483117404648	8	0.014204020867591042	9	0.002358053232755458	0	1.7729794660541846E-4	2	1.4962801940010138E-4	4	8.403635104374612E-5	6	5.6100914401203866E-5	
9	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19130304_WW_Inaug1.xml	5	0.42163171879405686	4	0.27962349707155615	1	0.15641683553052058	8	0.11653550113318084	6	0.017634110367430397	0	0.007547870894906804	7	2.1795329329346163E-4	2	1.9473570476292423E-4	9	1.4207543073427377E-4	3	5.570177955763913E-5	
10	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19170305_WW_Inaug2.xml	5	0.47342304721257783	1	0.27172227561952544	8	0.2183044255456324	0	0.024999047999668244	9	0.007234464452743745	4	0.0036634842211663646	7	2.629811001321632E-4	2	2.349669009341932E-4	6	8.809752377445682E-5	3	6.720942384506111E-5	
11	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19330304_FDR_Inaug1.xml	9	0.47796740117160175	1	0.32594352608139227	8	0.14251594705987963	4	0.035210997742545956	5	0.015192000761369869	2	0.0026752689525484266	0	1.9775552313937774E-4	7	1.8679089038408958E-4	6	6.25741351686273E-5	3	4.773768196996462E-5	
12	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19370120_FDR_Inaug2.xml	4	0.4391865817474699	1	0.2800930972278574	8	0.273310373752618	0	0.00407795358545584	7	0.0014837805351762213	9	0.0014168199273747945	2	1.718501379950334E-4	5	1.4595466030471366E-4	6	6.443278418138246E-5	3	4.9155641566618854E-5	
13	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19410120_FDR_Inaug3.xml	8	0.4267418163747185	4	0.36124224152518236	1	0.20081661796603537	5	0.006076211245994062	2	0.0041634771742044205	0	3.0776367582756125E-4	7	2.9069959778161756E-4	9	1.894959692739933E-4	6	9.738309982702418E-5	3	7.429337115509318E-5	
14	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19450120_FDR_Inaug4.xml	8	0.6654310926755461	1	0.3013905301363991	2	0.020129043162604464	7	0.010465826988128495	0	7.679209227709051E-4	5	5.50419489639286E-4	9	4.728235689119632E-4	4	3.639820622594904E-4	6	2.4298682968473486E-4	3	1.8537416405549491E-4	
15	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19690120_RN_Inaug1.xml	8	0.6902413115958308	9	0.21140619746415143	1	0.0900550134854518	2	0.007577970670161599	0	1.9482338130645877E-4	7	1.8402132230827225E-4	5	1.39642745663921E-4	4	9.234312284189091E-5	6	6.164634191929618E-5	3	4.7029870364561E-5	
