#doc name topic proportion ...
0	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/.DS_Store	12	0.4116822818522909	17	0.18659192864065116	13	0.1774294580468156	5	0.022357430448226977	0	0.019140959332376094	11	0.018400395724043565	8	0.016652219300597435	19	0.015595246226271271	10	0.014854808783766089	6	0.014270345217823086	1	0.01416144143041954	2	0.013410659772732135	9	0.012433082604020295	14	0.01105128493141386	4	0.010239314919684125	3	0.009532205128495421	15	0.009292211596581812	16	0.008223152548751103	18	0.00781878019596892	7	0.006862793299070658	
1	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/17890430_GW_Inaug1.xml	17	0.38134349198316075	2	0.33702011026253764	11	0.20872143407811475	13	0.05327393216277606	8	0.017973736387773786	5	1.991141352859136E-4	0	1.7046840757637907E-4	19	1.388904674938245E-4	10	1.322961693950721E-4	6	1.2709096668591678E-4	1	1.2612107510967183E-4	9	1.1072839955247004E-4	12	1.0133489093208973E-4	14	9.842217995544397E-5	4	9.119081644352121E-5	3	8.489333270759809E-5	15	8.275596255265793E-5	16	7.323497719741669E-5	18	6.963365764756029E-5	7	6.111968710155521E-5	
2	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/17930304_GW_Inaug2.xml	17	0.6952659068729748	11	0.16236693815248943	13	0.05154766767297925	5	0.01985317223244981	1	0.01912189355584898	4	0.018771945858505806	18	0.01855597614141871	0	0.0017078323774029243	8	0.0014857771119690182	19	0.0013914697783065915	10	0.0013254050102981853	6	0.0012732568507416537	2	0.0011965523025518994	9	0.0011093289867741992	12	0.0010152204162338716	14	9.860395129647206E-4	3	8.505011825062904E-4	15	8.29088006862786E-4	16	7.337023146653939E-4	7	6.123256620556101E-4	
3	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18090304_JM_Inaug1.xml	17	0.314632646124093	2	0.29564908949760443	4	0.2720603652207783	13	0.06827994199674728	6	0.03869688321105829	1	0.004434197598325719	10	0.0023002706243664146	9	0.002274361555066394	5	2.3919310931936548E-4	0	2.0478138526109764E-4	11	1.9685839462333074E-4	8	1.7815536185168915E-4	19	1.6684723426071307E-4	12	1.2173222965702768E-4	14	1.1823322947779815E-4	3	1.0198120882606329E-4	15	9.941361505682918E-5	16	8.797618452165307E-5	18	8.36499682058408E-5	7	7.34222508987385E-5	
4	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18130304_JM_Inaug2.xml	4	0.4939857817977546	17	0.3059865569708941	13	0.0732382688497714	15	0.028666397164469677	5	0.026758783391100983	11	0.022636771554480878	6	0.022594659854510573	19	0.012404008399677735	12	0.012361011054554491	0	1.9516912331575206E-4	8	1.6979290252511098E-4	10	1.5146576287045817E-4	1	1.4439590309287039E-4	2	1.3674062336587416E-4	9	1.2677284298047482E-4	14	1.1268346346300282E-4	3	9.71942986706834E-5	16	8.384665815139253E-5	18	7.972351070537424E-5	7	6.997587364449872E-5	
5	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18610304_AL_Inaug1.xml	6	0.5449568998758204	17	0.3576359277006138	13	0.035682350957557576	0	0.031275305071364806	11	0.024423154371050818	2	0.0023341029281327796	10	0.0015785568049071844	8	8.243538867791472E-4	19	8.20334961427481E-4	5	8.500958653443182E-5	1	5.3846003614740444E-5	9	4.7274270357845196E-5	12	4.326381533525472E-5	14	4.202026547143712E-5	4	3.89329144837937E-5	3	3.624427317849704E-5	15	3.533174653702283E-5	16	3.126686672682134E-5	18	2.972932301867599E-5	7	2.609437708757501E-5	
6	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18650304_AL_Inaug2.xml	5	0.6122118685855076	13	0.21132265083583104	6	0.0904770236819212	17	0.05855871990180964	10	0.02382081601049616	0	3.750335422202673E-4	11	3.605234965924814E-4	8	3.2627104429235043E-4	19	3.055615098739008E-4	1	2.774686184935224E-4	2	2.6275836810182694E-4	9	2.4360445726541804E-4	12	2.2293857047815864E-4	14	2.165305542916645E-4	4	2.0062142537143534E-4	3	1.867668486429024E-4	15	1.8206459611623446E-4	16	1.6111825823480883E-4	18	1.5319529088471731E-4	7	1.344644035747232E-4	
7	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18850304_GC_Inaug1.xml	17	0.4171461490076475	10	0.22992488446093026	1	0.16699232204904282	16	0.11223188867841422	13	0.07234849296637784	5	1.5280828194087878E-4	0	1.308243859710889E-4	11	1.2576279121764502E-4	8	1.1381437718075656E-4	19	1.0659019102396327E-4	6	9.75347744226892E-5	2	9.165900725086978E-5	9	8.49774752223387E-5	12	7.776851483579453E-5	14	7.553318202282037E-5	4	6.99835396894915E-5	3	6.51505946609769E-5	15	6.3510289914259E-5	18	5.3439699673274756E-5	7	4.690573256058268E-5	
8	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/18930304_GC_Inaug2.xml	17	0.322397163165555	16	0.20678861752952615	1	0.1371587350077852	19	0.13379598311365065	10	0.12255582350848081	8	0.04503749310001627	13	0.021220847478925393	7	0.006780127699619949	2	0.0023224844982674114	14	0.0011856392926868037	5	1.2550870837982973E-4	0	1.0745228922977088E-4	11	1.0329496076708554E-4	6	8.01099482595189E-5	9	6.97960412948111E-5	12	6.387497932497247E-5	4	5.748080904197957E-5	3	5.351128147125359E-5	15	5.216402118211874E-5	18	4.389256653506323E-5	
9	file:/users/dingyi/mallet-2.0.7/speeches_plain-text/19130304_WW_Inaug1.xml	7	0.4211050973765815	13	0.24837341611625902	17	0.15341057554494905	14	0.09511049056867553	1	0.06589328012149676	8	0.008893613511041088	10	0.00595649161131759	5	1.6330832450495234E-4	0	1.3981383080789877E-4	11	1.3440443448455169E-4	19	1.1391441146835882E-4	6	1.0423676249498348E-4	2	9.795724884674885E-5	9	9.081660315106758E-5	12	8.311228747395924E-5	4	7.479237685584677E-5	3	6.962734165614062E-5	15	6.787432528515845E-5	16	6.006545644835802E-5	18	5.711174620147137E-5	
